ID (id),Name (nm),Type (Base),Type (de),Type (es),Type (fr),Type (id),Type (it),Type (ja),Type (ko),Type (pt),Type (ru),Type (th),Type (vi),Type (zh-Hans),Type (zh-Hant),Spirit (Base),Spirit (de),Spirit (es),Spirit (fr),Spirit (id),Spirit (it),Spirit (ja),Spirit (ko),Spirit (pt),Spirit (ru),Spirit (th),Spirit (vi),Spirit (zh-Hans),Spirit (zh-Hant),Cost (cst),Currency (Base),Currency (de),Currency (es),Currency (fr),Currency (id),Currency (it),Currency (ja),Currency (ko),Currency (pt),Currency (ru),Currency (th),Currency (vi),Currency (zh-Hans),Currency (zh-Hant),Dependency ID (dep),Tree Tier (tt),Tree Order (to),Event (Base),Event (de),Event (es),Event (fr),Event (id),Event (it),Event (ja),Event (ko),Event (pt),Event (ru),Event (th),Event (vi),Event (zh-Hans),Event (zh-Hant),Acquisition (ta)
205611725,emote_upgrade_point_01,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,0,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,0,,,,,,,,,,,,,,,,,spirit_unlock
155278868,emote_upgrade_point_02,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,1,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,205611725,2,,,,,,,,,,,,,,,,spirit_unlock
138418155,lootbox_common_19,Blessing,Segen,Bendición,Bénédiction,Berkah,Benedizione,祝福,축복,Bênção,Благословение,พร,Chúc phúc,祝福,祝福,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,1,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,205611725,2,2,,,,,,,,,,,,,,,spirit_unlock
158418233,CharSkyKid_Hair_TopSharp,Outfit,outfit,Traje,Tenue,Pakaian,Costume,ドレスアップ,의상,Traje,Наряд,ชุดเสื้อผ้า,Trang phục,服饰,服飾,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,0,Heart,Herz,Corazón,Cœur,Hati,Cuore,ハート,하트,Coração,Сердце,หัวใจ,Trái Tim,爱心,愛心,205611725,2,1,,,,,,,,,,,,,,,spirit_unlock
1296592938,heart_point,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,3,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,138418155,3,3,,,,,,,,,,,,,,,spirit_unlock
1208746447,tier_unlock_point_01,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,tier_unlock,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,1,Ascended Candle,Aufgestiegene Kerze,Vela elevada,Bougie élevée,Lilin Kenaikan,Candela di ascensione,星のキャンドル,하늘양초,Vela Ascendida,Вознесенная свеча,เทียนจุติ,Nến Thăng Hoa,升华蜡烛,昇華燭,138418155,4,1,,,,,,,,,,,,,,,spirit_unlock
172056487,emote_upgrade_point_03,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,2,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,1208746447,3,,,,,,,,,,,,,,,,spirit_unlock
121723630,emote_upgrade_point_04,Expression Upgrade,Ausdrucksupgrade,Actualización de expresiones,Amélioration d’expression,Peningkatan Ekspresi,Migliora espressione,感情表現のアップグレード,제스처 업그레이드,Aprimoramento de expressão,Улучшение выражения,อัปเกรดการแสดงออก,Nâng cấp Biểu cảm,表情升级,表情升級,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,2,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,172056487,4,,,,,,,,,,,,,,,,spirit_unlock
1585766101,lootbox_rainbow_01,Blessing,Segen,Bendición,Bénédiction,Berkah,Benedizione,祝福,축복,Bênção,Благословение,พร,Chúc phúc,祝福,祝福,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,5,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,candles,172056487,4,2,,,,,,,,,,,,,,,spirit_unlock
4086661700,CharSkyKid_Body_LongSkinnyPants,Outfit,outfit,Traje,Tenue,Pakaian,Costume,ドレスアップ,의상,Traje,Наряд,ชุดเสื้อผ้า,Trang phục,服饰,服飾,Pointing Candlemaker,Deutender Kerzenmacher,Candelero que apunta,Cirier pointant,Pembuat Lilin Menunjuk,Candelaio indicante,指差すキャンドル職人,가리키는 양초장이,Candeeiro Denotante,Указующий свечной мастер,ช่างทำเทียนจอมชี้นิ้ว,Thợ Nến Dẫn Đường,指路蜡烛匠,指路蠟燭匠,4,Heart,Herz,Corazón,Cœur,Hati,Cuore,ハート,하트,Coração,Сердце,หัวใจ,Trái Tim,爱心,愛心,172056487,3,1,,,,,,,,,,,,,,,spirit_unlock
